sentiment,content
love,i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd f1 to an extent 
neutral,"it is 4pm friday, he left at 6am thursday.. surely he should be there now"
happiness, hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
worry, i miss you!  come to michigan like now..i ca not wait till july
neutral,  maybe a good night is sleep for everyone?
worry,farr . pdhpe assignment due next week and have english homework !
neutral," yea, its tough to keep it going. sometimes i am not sure its worth it."
worry," hun are you okay? i see alot of your posts your exercising like mad,not eating or sleeping"
worry, what happened? i am afraid i missed a large part of the story
neutral, hell yes. i am too late.
sadness,just got my ass kicked in tripoly lol  i got such bad cards.. i suck
worry,soo.. hot in here huff..
worry,closeness or distance? closeness.. but now everything seems so distant..
sadness,anndd another one bites the dust
worry,  my thoughts dwell on a certain person
worry,fml my work uniform is on the washing line
worry,ohh shit i just realized she still not talking to me  it b like dat some times..
sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
worry," naw, it doesnt match up lol and i have no shenanigans to discuss..  but i did do the thing.."
worry," not this part, unfortunately."
worry," dude, i did not know it was a personal experience. sorry something like that went down"
worry, aww well i just randomly woke up and now i ca not sleep! too many things on my mind
worry, me too baby.. miss you
neutral," since obviously living in alaska, only a few radio stations we get here."
neutral,"oh noes.  hey, what is my tatoo say?"
neutral, i do not have a vcr..
sadness, i wish i could have time for my xbox  project all tied
worry,all my pancakes always end up soggy.
surprise,wow. that hurt way worse than i thought it would.
worry,why do none of my thoughts make sense when i am sober?
neutral, i know right  but hopefully something comes up though
worry,i cant to sleep and tomorrow i must wake up too early
sadness,and trash repops.  getting it tomorrow night i suppose.
worry,nursing bruises from motorbike crash on wednesday night leaving london workplace. the ground is so much harder the older you get
worry,"so bored, i have a headache."
neutral,huge headache..goodnight!!
neutral,"i justwatched like, 5 straight episodes of escaped on id discovery channel. a guy imprisoned 6 women, killed 2 and cooked them"
sadness,missing everyone
neutral,its only 0.2! just give me my 3 points!
worry,another build failed! something is not right in the big scheme of things!
love,i wish i was going to we love sounds
sadness,my sisser is moving tomorrow and of makes me sad  actually i guess technically in a couple of hours since it is already friday.
worry,i keep on falling asleep when i am suppose to be awake. i miss my babyy..
neutral, why not?
worry,on my way to nottingham..i so do not want to be going
surprise,no churchill downs for me tomorrow
neutral,to chicago.. but why is not my ride calling me back?
neutral,"k, goodnight! gotta do chuck e cheese tomorrow following kindergarten shots and physical.. bla"
worry,i need to wake up earlier so i am actually tired enough to fall asleep
sadness, that is so sad
surprise,mann..  got an iphone!! im jealous..
love, funny u havent showed me any love yet at all
neutral, absolutely nothin
neutral, if it makes you feel better i lost 10 overnight cause i posted a picture of a baby
sadness,is still sick  sigh
worry," oh poor beths friend  i am not naughty, i am just unperfect."
surprise,josh just called me a big bucket of ugly  wish me luck for my audition tweets!
sadness,i feel really weird
surprise, i am trying to self learn photoshop but it is not going so well!
worry, ever seen the tv show dead like me? i died and became a grim reaper. taking people is souls after accidents
neutral, i am sorry  i am thinking about you and hope the week gets better!
sadness,my throat hurts  gonna go read and go to bed. text mee!
worry,i am dying to hangout on a friday afternoon..
worry,eh.. it is cold
sadness,fjdskal im really frustrated.
sadness,wondering how come mcdonalds take so long to deliver my food.
surprise," ya, the weather has been super weird here. it looked like it was gonna rain today but of course it did not, darnitt,"
sadness," .. much more injustice than we can imagine now. it will get worse before it gets better, i am afraid. no doubt here. sorry"
neutral,will miss nostalgia .. everyone please kick tushar
sadness,soo..i am kind of sick n tired of the bs that guys dish out  !!
worry,  but they are expensive.
worry,misses his twitastic fwiends
worry, take my advice lookin through the phone cost me my relationship
surprise,fuck wasting deodorant.. i aint goin no where.. i aint havin company  let me funk it to ya!
neutral, i wish i knew!  the curse of tumblr.
neutral,business exam tomorrow
worry," oh, i know how budgeting is."
surprise,ouch! my earphones just shocked me
sadness,tummy hurts
neutral,back from grimsby  it sucks bein back but was amazin wknd anyway!!
sadness,farewelling an employee tonight..
worry,"gorgeous weather, but no bike"
sadness,"morning all. the water heating is packed up, so i ca not have a bath. i really want a bath!"
sadness, girls are confusing.
sadness,blackout in the city is never good
neutral, aww maybe i traumatized her.
happiness," . flights already booked, plus its ggd2 1st birthday. ca not miss that ! especially as we missed ggd1"
worry,"i have drunk hickups. i had a pretty laid back, great night. but i still ca not help but be mad about the situation i put myself in"
worry,why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud
neutral,ugh. too much happened today. i really need a hug
neutral, ur pic is gone
worry,my tongue still hurts.  i need to sleep!!
neutral,how do you twitter?
sadness, chris and i are staying in glasgow instead cause there is absolutely no accomodation in edinburgh due to the marathon
love,"i ca not wait till it is sunday, a new episode of supernatural but then there are only 6 episodes left now"
neutral, aww  ok lol hopefully by than im still here and not back over in the states
sadness, sad tweets are sad
worry,needs a little lie down. not feeling great today. boo
sadness,have decided i just ca not stand  is alltop spam any longer.
worry,"its from all that anal sex, i forgot the lube. damn  may need to go to the e.r."
worry,playn madden with austin. im going to miss him..
sadness,i miss rich
sadness,disappointed to know that i got the silver award. i want the gold award. i hate being second best.
worry,"i want to go back to bed but have a child to look after!  i may sleep all of sunday, my enevitable hangover may require it!"
worry,i just got mad tired so no sex  sleepytime night!
neutral,does anyone know how to convert 6 est to aus time? rofl xd fucking radio disney
